mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000600	655.77	923.01	1108.86	1018.2
ENSMUSG00000000766	1394.58	2526.05	5349.37	4795.02
ENSMUSG00000001376	1136.69	1347.0	1486.59	1749.54
ENSMUSG00000001750	2395.35	2515.04	1455.58	1662.82
ENSMUSG00000003282	331.8	203.16	219.71	172.21
ENSMUSG00000003585	68.99	384.88	222.6	249.61
ENSMUSG00000004565	276.13	230.77	306.9	376.85
ENSMUSG00000004567	14988.15	10318.79	10067.63	10368.9
ENSMUSG00000004568	1477.81	2206.36	1775.08	1550.26
ENSMUSG00000004626	5822.33	6134.91	10443.93	9017.54
ENSMUSG00000004630	33.17	0.0	0.0	1079.38
ENSMUSG00000004748	68.36	242.17	367.63	106.0
ENSMUSG00000005534	958.45	922.4	1350.84	1069.42
ENSMUSG00000005540	0.0	0.0	0.0	0.0
ENSMUSG00000005907	901.49	1201.44	1489.61	977.46
ENSMUSG00000005982	14019.08	13706.38	12817.75	13516.19
ENSMUSG00000005983	542.41	612.12	576.1	791.7
ENSMUSG00000006333	31719.23	32342.66	30925.55	26298.86
ENSMUSG00000006335	764.92	2475.24	1066.92	2178.55
ENSMUSG00000007415	3757.69	3580.4	4936.48	4602.64
ENSMUSG00000008307	67.1	0.0	72.38	0.0
ENSMUSG00000008373	914.71	1177.79	1266.13	1286.71
ENSMUSG00000012705	0.0	0.0	0.0	0.0
ENSMUSG00000013974	0.0	0.0	0.0	0.0
ENSMUSG00000014232	975.63	1015.82	1952.76	1388.07
ENSMUSG00000014529	0.0	0.0	0.0	0.0
ENSMUSG00000015202	6828.07	7137.16	1869.97	3318.31
ENSMUSG00000017688	46.53	42.75	78.98	151.9
ENSMUSG00000019368	15.09	0.0	0.0	0.0
ENSMUSG00000019470	702.67	1469.13	1054.46	535.77
ENSMUSG00000019734	608.07	149.78	326.21	933.35
ENSMUSG00000020430	351.68	264.15	214.36	285.57
ENSMUSG00000020432	196.01	223.64	105.31	96.75
ENSMUSG00000020434	52.02	52.84	55.86	53.74
ENSMUSG00000020435	418.65	143.25	442.96	347.48
ENSMUSG00000020439	194.45	89.14	47.63	27.76
ENSMUSG00000020448	1397.38	1304.33	895.94	1259.82
ENSMUSG00000020451	3525.97	2293.8	3329.63	2078.71
ENSMUSG00000020453	2137.9	2606.41	1644.34	1513.45
ENSMUSG00000020454	1208.75	1692.22	1332.35	1119.09
ENSMUSG00000020457	1457.36	2171.19	2263.27	1580.23
ENSMUSG00000020658	2422.55	2101.63	2847.63	2818.45
ENSMUSG00000020660	1023.01	515.81	220.38	370.36
ENSMUSG00000020661	2393.64	1934.27	2242.46	2497.33
ENSMUSG00000020668	3641.2	4146.23	5480.74	4779.11
ENSMUSG00000020671	7947.14	8718.02	10360.2	10072.88
ENSMUSG00000021215	2733.93	949.94	937.35	893.08
ENSMUSG00000021216	0.0	0.0	15.38	0.0
ENSMUSG00000021218	11862.79	11842.03	14649.03	14449.49
ENSMUSG00000022184	1433.99	798.45	1045.99	770.54
ENSMUSG00000022186	1573.82	2956.29	2731.27	2549.57
ENSMUSG00000022529	4671.28	4704.95	5076.83	5638.53
ENSMUSG00000022534	14.2	0.0	0.0	0.0
ENSMUSG00000023764	280.63	227.77	203.76	361.18
ENSMUSG00000023795	2317.9	2216.99	2386.58	2593.84
