mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000001	84.43	69.51	85.19	69.99
ENSMUSG00000000003	0.0	0.0	0.0	0.0
ENSMUSG00000000028	26.17	53.98	4.2	11.46
ENSMUSG00000000031	2402.61	613.23	199.7	619.5
ENSMUSG00000000037	6.64	7.22	12.77	4.82
ENSMUSG00000000049	0.0	0.0	0.0	0.0
ENSMUSG00000000056	31.45	100.22	53.95	44.46
ENSMUSG00000000058	15.02	2.15	25.14	17.46
ENSMUSG00000000078	16.55	22.44	37.54	36.73
ENSMUSG00000000085	91.75	65.95	153.35	80.52
ENSMUSG00000000088	277.23	278.07	341.58	356.63
ENSMUSG00000000093	14.02	3.19	4.76	4.06
ENSMUSG00000000094	0.0	0.97	2.95	0.0
ENSMUSG00000000103	0.0	0.0	0.0	0.0
ENSMUSG00000000120	43.24	20.18	13.81	20.58
ENSMUSG00000000125	3.85	2.85	4.25	9.68
ENSMUSG00000000126	4.74	2.63	0.0	2.68
ENSMUSG00000000127	11.12	13.46	10.3	13.59
ENSMUSG00000000131	139.28	198.62	148.39	189.59
ENSMUSG00000000134	23.11	15.12	20.96	11.51
ENSMUSG00000000142	25.48	35.41	16.01	41.38
ENSMUSG00000000148	25.7	21.16	28.08	24.14
ENSMUSG00000000149	72.36	108.7	99.46	77.89
ENSMUSG00000000154	0.0	2.3	0.0	0.0
ENSMUSG00000000157	0.0	0.0	0.0	0.0
ENSMUSG00000000159	0.0	3.33	0.0	0.0
ENSMUSG00000000167	0.0	2.83	16.35	4.04
ENSMUSG00000000168	75.93	30.54	34.92	20.37
ENSMUSG00000000171	159.37	134.57	221.36	191.81
ENSMUSG00000000182	0.0	0.0	2.53	0.0
ENSMUSG00000000183	0.0	0.0	0.0	0.0
ENSMUSG00000000184	71.88	107.84	51.12	37.45
ENSMUSG00000000194	32.82	20.27	30.31	33.91
ENSMUSG00000000197	9.62	10.68	11.79	20.13
