mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000600	92.0	128.0	145.0	139.0
ENSMUSG00000000766	53.0	105.0	190.0	173.0
ENSMUSG00000001376	90.0	88.0	70.0	91.0
ENSMUSG00000001750	44.0	43.0	29.0	26.0
ENSMUSG00000003282	36.0	22.0	22.0	18.0
ENSMUSG00000003585	2.0	6.0	6.0	7.0
ENSMUSG00000004565	28.0	23.0	29.0	37.0
ENSMUSG00000004567	128.0	97.0	103.0	102.0
ENSMUSG00000004568	172.0	195.0	178.0	174.0
ENSMUSG00000004626	78.0	73.0	126.0	107.0
ENSMUSG00000004630	1.0	0.0	0.0	9.0
ENSMUSG00000004748	2.0	7.0	10.0	3.0
ENSMUSG00000005534	211.0	187.0	245.0	228.0
ENSMUSG00000005540	0.0	0.0	0.0	0.0
ENSMUSG00000005907	34.0	34.0	60.0	41.0
ENSMUSG00000005982	641.0	574.0	547.0	592.0
ENSMUSG00000005983	26.0	18.0	20.0	32.0
ENSMUSG00000006333	356.0	360.0	341.0	284.0
ENSMUSG00000006335	17.0	25.0	16.0	16.0
ENSMUSG00000007415	181.0	172.0	230.0	209.0
ENSMUSG00000008307	1.0	0.0	1.0	0.0
ENSMUSG00000008373	39.0	44.0	33.0	40.0
ENSMUSG00000012705	0.0	0.0	0.0	0.0
ENSMUSG00000013974	0.0	0.0	0.0	0.0
ENSMUSG00000014232	37.0	38.0	64.0	47.0
ENSMUSG00000014529	0.0	0.0	0.0	0.0
ENSMUSG00000015202	512.0	548.0	136.0	241.0
ENSMUSG00000017688	4.0	4.0	6.0	14.0
ENSMUSG00000019368	1.0	0.0	0.0	0.0
ENSMUSG00000019470	48.0	57.0	56.0	36.0
ENSMUSG00000019734	14.0	2.0	6.0	19.0
ENSMUSG00000020430	23.0	17.0	13.0	18.0
ENSMUSG00000020432	8.0	9.0	4.0	4.0
ENSMUSG00000020434	3.0	3.0	3.0	3.0
ENSMUSG00000020435	18.0	12.0	19.0	25.0
ENSMUSG00000020439	6.0	6.0	3.0	1.0
ENSMUSG00000020448	88.0	80.0	52.0	76.0
ENSMUSG00000020451	106.0	88.0	105.0	81.0
ENSMUSG00000020453	141.0	158.0	96.0	82.0
ENSMUSG00000020454	77.0	87.0	61.0	70.0
ENSMUSG00000020457	44.0	41.0	43.0	30.0
ENSMUSG00000020658	345.0	294.0	378.0	390.0
ENSMUSG00000020660	20.0	10.0	4.0	7.0
ENSMUSG00000020661	454.0	388.0	418.0	477.0
ENSMUSG00000020668	583.0	652.0	818.0	741.0
ENSMUSG00000020671	634.0	684.0	770.0	778.0
ENSMUSG00000021215	206.0	72.0	67.0	65.0
ENSMUSG00000021216	0.0	0.0	1.0	0.0
ENSMUSG00000021218	578.0	544.0	658.0	664.0
