mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000001	70.0	78.0	64.0	77.0
ENSMUSG00000000003	0.0	0.0	0.0	0.0
ENSMUSG00000000028	13.0	34.0	2.0	8.0
ENSMUSG00000000031	1293.0	462.0	102.0	455.0
ENSMUSG00000000037	7.0	8.0	3.0	7.0
ENSMUSG00000000049	0.0	0.0	0.0	0.0
ENSMUSG00000000056	32.0	59.0	41.0	67.0
ENSMUSG00000000058	5.0	2.0	8.0	10.0
ENSMUSG00000000078	18.0	33.0	37.0	53.0
ENSMUSG00000000085	50.0	48.0	49.0	61.0
ENSMUSG00000000088	37.0	51.0	41.0	63.0
ENSMUSG00000000093	13.0	4.0	4.0	5.0
ENSMUSG00000000094	0.0	1.0	2.0	0.0
ENSMUSG00000000103	0.0	0.0	0.0	0.0
ENSMUSG00000000120	38.0	24.0	11.0	24.0
ENSMUSG00000000125	3.0	3.0	3.0	10.0
ENSMUSG00000000126	4.0	3.0	0.0	3.0
ENSMUSG00000000127	7.0	13.0	7.0	11.0
ENSMUSG00000000131	77.0	101.0	63.0	102.0
ENSMUSG00000000134	23.0	18.0	9.0	14.0
ENSMUSG00000000142	28.0	41.0	13.0	34.0
ENSMUSG00000000148	20.0	24.0	21.0	27.0
ENSMUSG00000000149	63.0	127.0	63.0	90.0
ENSMUSG00000000154	0.0	1.0	0.0	0.0
ENSMUSG00000000157	0.0	0.0	0.0	0.0
ENSMUSG00000000159	0.0	1.03	0.0	0.0
ENSMUSG00000000167	0.0	1.0	1.0	1.0
ENSMUSG00000000168	23.0	32.0	20.0	20.0
ENSMUSG00000000171	47.0	54.0	59.0	75.0
ENSMUSG00000000182	0.0	0.0	1.0	0.0
ENSMUSG00000000183	0.0	0.0	0.0	0.0
ENSMUSG00000000184	107.0	217.0	69.0	74.0
ENSMUSG00000000194	46.0	44.0	42.0	64.0
ENSMUSG00000000197	18.0	27.0	20.0	50.0
ENSMUSG00000000202	13.0	21.0	10.0	20.0
ENSMUSG00000000204	2.0	0.0	0.0	1.0
ENSMUSG00000000214	14.0	3.0	10.0	10.0
ENSMUSG00000000215	0.0	0.0	0.0	2.0
ENSMUSG00000000216	0.0	0.0	0.0	0.0
ENSMUSG00000000223	59.0	69.0	52.0	60.0
ENSMUSG00000000244	1.0	0.0	0.0	0.0
ENSMUSG00000000247	81.0	163.0	42.0	68.0
ENSMUSG00000000248	0.0	0.0	0.0	0.0
ENSMUSG00000000253	5.0	3.0	9.0	10.0
ENSMUSG00000000263	2.0	2.0	0.0	0.0
ENSMUSG00000000266	11.0	8.0	15.0	26.0
ENSMUSG00000000275	6.0	4.0	1.0	5.0
ENSMUSG00000000276	24.0	31.0	27.0	56.0
ENSMUSG00000000278	12.0	9.0	14.0	16.0
ENSMUSG00000000282	33.0	35.0	24.0	24.0
ENSMUSG00000000290	1.0	0.0	0.0	0.0
ENSMUSG00000000295	7.0	10.0	5.0	8.0
ENSMUSG00000000296	4.0	2.0	2.0	11.0
ENSMUSG00000000301	0.0	1.0	2.0	2.0
ENSMUSG00000000303	3.0	2.0	6.0	2.0
ENSMUSG00000000305	36.0	66.0	56.0	77.0
ENSMUSG00000000308	12.0	18.0	29.0	53.0
ENSMUSG00000000317	4.0	4.0	9.0	7.0
ENSMUSG00000000318	0.0	0.0	0.0	0.0
ENSMUSG00000000320	2.0	1.0	1.0	1.0
ENSMUSG00000000325	103.0	131.0	91.0	100.0
ENSMUSG00000000326	24.0	40.0	31.0	42.0
ENSMUSG00000000339	26.0	40.0	24.0	45.0
ENSMUSG00000000340	10.0	14.0	7.0	10.0
ENSMUSG00000000346	68.0	97.0	38.0	86.0
ENSMUSG00000000355	11.0	16.0	9.0	19.0
ENSMUSG00000000359	0.0	0.0	1.0	0.0
ENSMUSG00000000365	0.0	0.0	1.0	0.0
ENSMUSG00000000374	51.0	63.0	54.0	107.0
ENSMUSG00000000378	38.0	51.0	30.0	40.0
ENSMUSG00000000381	0.0	0.0	0.0	0.0
ENSMUSG00000000384	33.0	32.0	23.0	33.0
ENSMUSG00000000385	1.0	0.0	0.0	0.0
ENSMUSG00000000386	1.0	3.0	0.0	0.0
ENSMUSG00000000392	4.0	1.0	0.0	4.0
ENSMUSG00000000394	0.0	0.0	0.0	0.0
ENSMUSG00000000399	29.0	52.0	42.0	40.0
ENSMUSG00000000402	15.0	8.0	0.0	2.0
ENSMUSG00000000409	2.0	2.0	4.0	8.0
ENSMUSG00000000411	0.0	0.0	0.0	0.0
ENSMUSG00000000416	30.0	88.0	65.0	86.0
ENSMUSG00000000420	23.0	36.0	24.0	40.0
ENSMUSG00000000435	0.0	0.0	0.0	0.0
ENSMUSG00000000439	14.0	28.0	18.0	24.0
ENSMUSG00000000440	0.0	0.0	0.0	1.0
ENSMUSG00000000441	125.0	227.0	126.0	198.0
ENSMUSG00000000486	1.0	3.0	0.0	0.0
ENSMUSG00000000489	14.0	11.0	18.0	9.0
ENSMUSG00000000530	8.0	11.0	3.0	13.0
ENSMUSG00000000531	4.0	6.0	4.0	1.0
ENSMUSG00000000532	44.0	66.0	53.0	73.0
ENSMUSG00000000538	59.0	69.0	78.0	79.0
ENSMUSG00000000544	0.0	0.0	0.0	0.0
ENSMUSG00000000552	13.0	15.0	13.0	11.0
ENSMUSG00000000555	19.0	13.0	4.0	5.0
ENSMUSG00000000560	11.0	15.0	17.0	23.0
ENSMUSG00000000561	41.69	47.97	32.37	64.2
ENSMUSG00000000562	0.0	0.0	0.0	0.0
ENSMUSG00000000563	93.0	146.94	99.0	147.0
ENSMUSG00000000567	43.0	57.0	18.0	21.0
ENSMUSG00000000568	163.0	214.0	115.0	102.0
ENSMUSG00000000579	58.92	68.35	34.29	68.66
ENSMUSG00000000581	17.0	21.0	35.0	48.0
ENSMUSG00000000594	7.0	10.0	20.0	41.0
ENSMUSG00000000600	36.0	51.0	24.0	47.0
ENSMUSG00000000605	61.0	82.0	81.0	136.0
ENSMUSG00000000606	0.0	0.0	0.0	0.0
ENSMUSG00000000617	0.0	0.0	0.0	0.0
ENSMUSG00000000627	25.0	21.0	25.0	49.0
ENSMUSG00000000628	9.0	11.0	1.0	1.0
ENSMUSG00000000631	39.0	55.0	57.0	47.0
ENSMUSG00000000632	143.0	231.0	161.0	175.0
ENSMUSG00000000673	0.0	0.0	0.0	0.0
ENSMUSG00000000682	1.0	2.0	0.0	0.0
ENSMUSG00000000686	1.0	1.0	1.0	0.0
ENSMUSG00000000690	3.0	9.0	0.0	0.0
ENSMUSG00000000693	11.0	5.0	1.0	5.0
ENSMUSG00000000701	0.0	0.0	0.0	0.0
ENSMUSG00000000706	0.0	0.0	1.0	0.0
ENSMUSG00000000708	12.0	23.0	13.0	13.0
ENSMUSG00000000711	61.0	99.86	81.0	106.0
ENSMUSG00000000724	0.0	0.0	0.0	0.0
ENSMUSG00000000730	0.0	0.0	0.0	0.0
ENSMUSG00000000731	0.0	0.0	0.0	1.0
ENSMUSG00000000732	1.0	1.0	0.0	0.0
ENSMUSG00000000738	37.0	70.0	44.0	52.0
ENSMUSG00000000739	2.0	0.0	0.0	1.0
ENSMUSG00000000740	322.79	420.23	256.84	382.93
ENSMUSG00000000743	49.0	77.0	69.0	94.0
ENSMUSG00000000751	29.0	30.0	10.0	20.0
ENSMUSG00000000753	12.0	10.0	1.0	9.0
ENSMUSG00000000759	46.0	63.0	42.0	62.0
ENSMUSG00000000766	1.0	1.0	0.0	4.0
ENSMUSG00000000776	22.0	22.0	27.0	31.0
ENSMUSG00000000782	2.0	5.0	6.0	3.0
ENSMUSG00000000787	133.0	191.0	71.0	92.0
ENSMUSG00000000791	0.0	1.0	0.0	0.0
ENSMUSG00000000792	1.0	0.0	2.0	3.0
ENSMUSG00000000794	4.0	5.0	3.0	4.0
ENSMUSG00000000804	40.0	66.0	44.0	68.0
ENSMUSG00000000805	2.0	1.0	0.0	1.0
ENSMUSG00000000811	12.0	8.0	8.0	10.0
ENSMUSG00000000817	0.0	0.0	0.0	0.0
ENSMUSG00000000823	115.0	159.0	101.0	131.0
ENSMUSG00000000826	146.0	201.0	181.0	237.0
ENSMUSG00000000827	47.0	61.0	26.0	48.0
ENSMUSG00000000838	39.0	65.0	41.0	50.0
ENSMUSG00000000861	57.0	123.0	82.0	87.0
ENSMUSG00000000869	0.0	0.0	0.0	0.0
ENSMUSG00000000876	7.0	7.0	5.0	13.0
ENSMUSG00000000881	53.0	60.0	49.0	72.0
ENSMUSG00000000884	2.0	11.0	5.0	5.0
ENSMUSG00000000889	2.0	1.0	3.0	1.0
ENSMUSG00000000901	17.0	24.0	15.0	10.0
ENSMUSG00000000902	59.0	77.0	42.0	54.0
ENSMUSG00000000903	0.0	0.0	0.0	0.0
ENSMUSG00000000915	31.0	23.0	29.0	26.0
ENSMUSG00000000916	26.0	22.0	13.0	29.0
ENSMUSG00000000934	2.0	6.0	5.0	11.0
ENSMUSG00000000938	0.0	0.0	0.0	0.0
ENSMUSG00000000942	6.0	9.0	0.0	1.0
ENSMUSG00000000948	161.0	209.0	236.0	332.0
ENSMUSG00000000957	77.0	63.0	35.0	44.0
ENSMUSG00000000958	3.0	5.0	1.0	2.0
ENSMUSG00000000959	32.0	58.0	48.0	68.0
